Name,Height,Reach,Stance,DOB,ID
John Dodson,"5' 3""","66""",Orthodox,"Sep 26, 1984",99506df1af6c8b3b
Joe Doerksen,"6' 0""","75""",Orthodox,"Oct 09, 1977",dbaaf42313af90fa
Mike Dolce,"5' 11""",--,,"Apr 15, 1976",29b5791e51e7e832
Roman Dolidze,"6' 2""","76""",Orthodox,"Jul 15, 1988",327d5f279895110d
Cameron Dollar,"5' 11""",--,Orthodox,"May 12, 1987",3bbcd63a016d9715
CB Dollaway,"6' 2""","76""",Orthodox,"Aug 10, 1983",5d7bdab5e03e3216
Dennis Dombrow,--,--,,"Mar 17, 1986",4145caa2c999fbac
OJ Dominguez,--,--,,--,1a50e734bb54861a
John Donaldson,"5' 8""",--,,"Jul 09, 1992",1c610f900f9884ab
Cody Donovan,"6' 3""","74""",Orthodox,"Feb 20, 1981",7bc96507e4b38d3b
Houston Dorr,"6' 1""",--,Orthodox,--,312f47c3d2f83ffa
Rafael Dos Anjos,"5' 8""","70""",Southpaw,"Oct 26, 1984",6a2f7c151031653d
Junior Dos Santos,"6' 4""","77""",Orthodox,"Jan 30, 1984",63def5a5662a6917
Geronimo dos Santos,"6' 3""",--,Orthodox,"Aug 17, 1980",b51f6791c794e289
Antonio Dos Santos,"5' 10""",--,Orthodox,"Jul 21, 1988",81b8b3fb019dc69d
Anderson Dos Santos,"5' 5""","70""",Orthodox,"Jul 24, 1985",bbc9ab95fa766493
Acacio Dos Santos,"6' 4""","79""",Orthodox,"Sep 29, 1991",957562fdf68a725a
Felipe dos Santos,"5' 7""","70""",Orthodox,"Sep 11, 2000",5cdf5339728f580d
Tiago dos Santos e Silva,"5' 9""","70""",Orthodox,"Apr 12, 1987",8ce87f7e3a9baed2
Oleksandr Doskalchuk,"5' 6""",--,Southpaw,"Mar 13, 1990",86cb6f5b1ca98dc0
David Douglas,"5' 11""",--,,"Aug 16, 1981",7cf0944b88966118
Damion Douglas,--,--,,--,ce3b669e39418414
Cedric Doumbe,"5' 10""",--,,"Aug 13, 1992",5159e6ee100c717e
John Dowdy,--,--,,--,e780ccc79a209985
Jordan Dowdy,--,--,,--,0d9312337fdce39a
Danny Downes,"6' 0""","72""",Orthodox,"Apr 08, 1986",a66395395b5f1394
Derek Downey,"6' 1""",--,Orthodox,"Apr 27, 1980",b05086131c6f5dc5
John Doyle,"5' 11""",--,Orthodox,"Nov 21, 1976",0509b954421bb327
Edson Drago,"6' 4""",--,Orthodox,"Aug 29, 1977",f9c7fe2682af3802
Kyle Driscoll,"5' 11""","74""",Orthodox,"Sep 23, 1994",e5e148d4363deff8
Chris Drumm,"5' 8""",--,,--,5fd834edd92c9e50
Tomasz Drwal,"6' 1""","76""",Orthodox,"Jan 22, 1982",679a9054e2815943
Robert Drysdale,"6' 3""",--,Orthodox,"Oct 05, 1981",d2a9be6bf2de624c
Dricus Du Plessis,"6' 1""","76""",Switch,"Jan 14, 1994",0d7b51c9d2649a6e
Hugo Duarte,"6' 0""",--,Orthodox,"Aug 09, 1968",706404da0775dcbc
Antonio Duarte,"5' 7""",--,,--,29b5d32584e02d8d
Joe Duarte,--,--,,"Jan 25, 1977",454c3e9d4cd4a1b3
Emily Ducote,"5' 2""","63""",Orthodox,"Jan 01, 1994",02f8fedc18cbd26c
Viktoriia Dudakova,"5' 5""","67""",Orthodox,"Jan 26, 1999",6c9b66b43663f2f7
Milana Dudieva,"5' 3""",--,Orthodox,"Aug 04, 1989",072a10e85f7d4bff
Adin Duenas,"5' 6""",--,,"Jul 02, 1988",cb6c45b26b0a877a
Todd Duffee,"6' 3""","78""",Orthodox,"Dec 06, 1985",bda04c573563cc2e
Joe Duffy,"5' 10""","73""",Orthodox,"Feb 18, 1988",654ae722109a0d31
Alexis Dufresne,"5' 9""",--,Orthodox,"Aug 31, 1990",4ae4049426e0161d
Jessamyn Duke,"5' 11""","73""",Orthodox,"Jun 24, 1986",a7ddae0be8b78147
Isaac Dulgarian,"5' 7""","71""",Orthodox,"Jul 04, 1996",a57cb948c4c70a47
Kelly Dullanty,"5' 8""",--,Orthodox,"Nov 04, 1977",1a225f04aa6e0739
Sedriques Dumas,"6' 2""","79""",Orthodox,"Aug 06, 1995",4e6738062d469256
Norma Dumont,"5' 7""","67""",Orthodox,"Oct 01, 1990",d3f5d33d61cd00c9
Chris Duncan,"5' 10""","71""",Orthodox,"May 10, 1993",fd406a32a6fb3a29
Christian Leroy Duncan,"6' 2""","79""",Switch,"Jul 24, 1995",a93f94c923c3a9cb
Evan Dunham,"5' 10""","70""",Southpaw,"Dec 18, 1981",e5c9de15bb58b1c6
Alex Dunworth,"5' 8""",--,,--,31732a614e7a3d1d
Tom Duquesnoy,"5' 7""","68""",Orthodox,"Jun 21, 1993",e979c76341f19b22
Albert Duraev,"5' 11""","75""",Orthodox,"Jan 05, 1989",6b7c7460855dbbb9
Reuben Duran,"5' 7""","71""",Orthodox,"Jul 02, 1983",4417980b3e798abf
Cody Durden,"5' 7""","67""",Southpaw,"Mar 29, 1991",7f6ed67d3ed3c036
Luiz Dutra,"5' 11""",--,Orthodox,"May 06, 1982",2153a7f8396a46cc
Rilley Dutro,"5' 8""",--,Orthodox,"Sep 03, 1987",43db649da89fac4b
Bill Duvall,"6' 2""",--,Southpaw,--,7df4d3c38792b083
Merab Dvalishvili,"5' 6""","68""",Orthodox,"Jan 10, 1991",c03520b5c88ed6b4
David Dvorak,"5' 5""","68""",Orthodox,"Jun 05, 1992",9ada30894bf04e19
Matt Dwyer,"6' 4""","76""",Orthodox,"Dec 17, 1989",8f0d576beba1cfcd
Rolando Dy,"5' 8""","69""",Orthodox,"Aug 11, 1990",55ed59d541f8b90c
Ben Earwood,"5' 8""",--,Orthodox,--,ee457ef1e1c326c1
Cody East,"6' 3""",--,Orthodox,"Jun 29, 1988",5713c1d2fac539ac
Marvin Eastman,"5' 9""","73""",Orthodox,"Jun 08, 1971",05866d8c3a321856
Mike Easton,"5' 6""","70""",Southpaw,"Jan 25, 1984",bc7230f231701d66
Maurice Eazel,"5' 7""",--,,--,4acb99524a9a81ab
Vincent Eazelle,"5' 11""",--,,"Dec 07, 1980",ec421d5de0aea624
Ross Ebanez,"5' 9""",--,Southpaw,"May 18, 1975",a5b0bd216d8ba84e
Brian Ebersole,"6' 0""","73""",Southpaw,"Nov 27, 1980",32ba186f4b0e3267
Roybert Echeverria,"5' 5""","67""",Switch,"Aug 21, 1995",20b13e96668caaa4
Mark Eddiva,"5' 8""","68""",Orthodox,"Feb 16, 1986",40ff198adda94b9f
Frankie Edgar,"5' 6""","68""",Orthodox,"Oct 16, 1981",f2688492b9a525a3
Abdul-Kerim Edilov,"6' 2""",--,Orthodox,"Nov 25, 1991",37e03538c960bac6
Johnny Eduardo,"5' 7""","71""",Orthodox,"Aug 03, 1978",528c24b99fbaab79
Yves Edwards,"5' 9""","73""",Southpaw,"Sep 30, 1976",5f04e3d58d9ce982
Justin Edwards,"5' 10""","70""",Orthodox,"Jan 26, 1983",e56daf7725a0b5ab
Leon Edwards,"6' 2""","74""",Southpaw,"Aug 25, 1991",f1fac969a1d70b08
Te Edwards,"5' 8""","72""",Orthodox,"Sep 11, 1990",ef44e4ea9050f2ea
Adli Edwards,--,--,,"Aug 28, 1989",e6904a03a66e711d
Joselyne Edwards,"5' 8""","70""",Orthodox,"Sep 29, 1995",f9ab66e67240db7b
Tom Egan,"5' 11""",--,Orthodox,--,eae4aec1a5a8ff01
Stephanie Egger,"5' 6""","68""",Orthodox,"Aug 12, 1988",5e6294b37bbef029
Justin Eilers,"6' 1""",--,Orthodox,"Jun 28, 1978",27fc9218a3653e3c
Jon Olav Einemo,"6' 6""",--,Orthodox,"Dec 10, 1975",0577808d22dfe79c
Per Eklund,"5' 10""","72""",Orthodox,--,58bc81376286b3d3
John Elam,--,--,,--,22d80fb67e50ab0b
Evan Elder,"5' 10""","72""",Switch,"Apr 11, 1997",d9a56ecb6e94f02e
John Paul Elias,"6' 4""",--,,--,e873203fd50542f6
Joao Elias,"5' 3""","64""",Southpaw,"Jan 08, 1995",1a064688481f66e1
Saul Elizondo,"5' 7""",--,,"Jul 17, 1985",e295b96f135d758a
Darren Elkins,"5' 10""","71""",Orthodox,"May 16, 1984",92a9aa9c93192871
Jake Ellenberger,"5' 9""","71""",Orthodox,"Mar 28, 1985",d81ac739417d7f53
Joe Ellenberger,"5' 9""","72""",Orthodox,"Mar 28, 1985",8e8e4487c621aa1c
Tim Elliott,"5' 7""","66""",Southpaw,"Dec 24, 1986",c96d9178c9ed9e62
Oban Elliott,"6' 0""","72""",Orthodox,"Dec 19, 1997",6b56e94a59b7b134
Eddy Ellis,"5' 9""",--,Orthodox,--,e60d773a0a42048a
Lisa Ellis,"5' 4""",--,,"Nov 15, 1982",77350fd0e6d1dba8
Anna Elmose,"5' 3""",--,Orthodox,"Oct 06, 1984",1536a25e16fc299b
Cameron Else,"5' 9""","71""",Switch,"Apr 27, 1987",5f3da9a9610d8969
Aaron Ely,"5' 8""",--,,"Mar 18, 1989",1741343f0ca34dd5
Sovannahry Em,"5' 4""",--,,"Jun 26, 1992",45c8fed13a62fe92
Ramazan Emeev,"5' 10""","76""",Southpaw,"May 23, 1987",abd5fb12437eda21
Aleksander Emelianenko,"6' 6""",--,Orthodox,"Aug 02, 1981",f54200f1dfb9b5d4
Fedor Emelianenko,"6' 0""","74""",Orthodox,"Sep 28, 1976",b8da6f5c80ae2d15
Rob Emerson,"5' 9""","70""",Orthodox,"Jul 30, 1981",dc0f07928009a127
Jamall Emmers,"5' 10""","74""",Orthodox,"Jul 24, 1989",e00a3dee329a51f7
Josh Emmett,"5' 6""","70""",Orthodox,"Mar 04, 1985",fba03cd6cc28dc41
Marius Enache,"5' 11""",--,,"Oct 16, 1975",e3f443e4cbc3da8f
Kevin Engel,"6' 2""",--,,--,d2f310b5b072e986
Kolton Englund,"5' 10""","69""",Orthodox,"Jul 09, 1993",4122da4f791b2f4f
Oliver Enkamp,"6' 0""","77""",Switch,"Aug 10, 1991",330bafba312face4
Alex Enlund,"5' 10""",--,Orthodox,"May 27, 1987",d238217e0f8ea8e1
Kenny Ento,"6' 2""",--,,--,daf9be103c1edbbd
Ian Entwistle,"5' 5""",--,Orthodox,"Nov 19, 1986",d7adfcfdf7c6c1f8
Andy Enz,"6' 3""","78""",Orthodox,"Aug 15, 1991",993d385f5a475375
Won Jin Eoh,"5' 7""",--,Orthodox,--,bc7cf284c1c2f16e
Josh Epps,--,--,,"Aug 23, 1986",984b0c4c6e773a1c
Steve Erceg,"5' 8""","68""",Orthodox,"Jul 27, 1995",32ab52e5de93092d
Tom Erikson,"6' 3""",--,Orthodox,--,7b9a85e5ff31ef47
Konstantin Erokhin,"5' 11""",--,Orthodox,"Jan 31, 1983",22061ff217907c78
Julian Erosa,"6' 1""","74""",Southpaw,"Jul 31, 1989",902ec2cc48c8ae8a
Jarno Errens,"5' 11""","73""",Orthodox,"Nov 17, 1994",082eba4cd80f736f
Nick Ertl,"5' 9""",--,,--,74061adb224be3cc
Chel Erwin-Davis,"6' 0""",--,,--,c26ea30823f37316
Bobby Escalante,--,--,,--,f7ede18b4ec4ec1f
Eric Esch,"5' 11""",--,Orthodox,"Aug 03, 1968",0e4daed84a8f39a6
Pro Escobedo,--,--,,--,b36874652ed7715d
Cole Escovedo,"5' 7""","72""",Orthodox,"Aug 30, 1981",5df17b3620145578
Efrain Escudero,"5' 9""","71""",Orthodox,"Jan 15, 1986",83fd97284f4bb4a4
Evan Esguerra,--,--,,--,ed220e87bef0cc64
Carla Esparza,"5' 1""","63""",Orthodox,"Oct 10, 1987",d910665038efc639
Juan Espino,"6' 3""","80""",,"Oct 09, 1980",ccf5dc41417e9daf
Jordan Espinosa,"5' 6""","69""",Orthodox,"Nov 08, 1989",215a70f073a7b726
Jodie Esquibel,"5' 1""","64""",Orthodox,"May 07, 1986",411539901068522f
Rafael Estevam,"5' 8""","69""",Orthodox,"Aug 10, 1996",83455a9d17f57dae
Achilles Estremadura,"5' 10""","68""",Orthodox,"Mar 11, 1992",41f3cfdab0b22236
Shaun Etchell,"5' 7""","68""",Switch,"Aug 05, 1993",ea9bfe9c25037bba
Terry Etim,"6' 1""","73""",Orthodox,"Jan 11, 1986",33011768c3c4dc9a
Fred Ettish,"6' 0""",--,Southpaw,--,8d5daf67983b65ba
Scott Ettling,--,--,,--,74b5736f1df40be3
Sijara Eubanks,"5' 4""","67""",Orthodox,"Apr 27, 1985",4234f0097c83fa62
Billy Evangelista,"5' 8""","68""",Orthodox,"Oct 07, 1980",9766ed20b68c7c33
Rashad Evans,"6' 0""","75""",Orthodox,"Sep 25, 1979",ee779c43a8926d52
Doug Evans,"5' 9""",--,Orthodox,"Oct 10, 1980",d3de4a24f7eefac8
Ashlee Evans-Smith,"5' 8""","67""",Orthodox,"Jul 09, 1987",fc6e681bf6658faf
Dan Evensen,"6' 3""",--,Orthodox,"Jun 01, 1974",dd8aec6de7035943
Tonya Evinger,"5' 7""","70""",Orthodox,"Jun 04, 1981",b12a1d19ee383b7c
Movsar Evloev,"5' 7""","72""",Orthodox,"Feb 11, 1994",76e2870ffafbe38f
Andre Ewell,"5' 8""","75""",Southpaw,"Jan 21, 1988",5f6f049d54728e88
Neal Ewing,--,--,,"Sep 30, 1985",0798f558681d0eb5
Jessica Eye,"5' 6""","66""",Orthodox,"Jul 27, 1986",f72465a784c1b084
Edward Faaloloto,--,"70""",,"Jul 15, 1984",6224e8d0a34264eb
Urijah Faber,"5' 6""","67""",Orthodox,"May 14, 1979",78114b7199cef90c
Melinda Fabian,"5' 6""","66""",,"Jun 25, 1987",8c020156779f7888
Wagnney Fabiano,"5' 6""","69""",Southpaw,"Jul 14, 1975",40389d39a92f5bfa
Bartosz Fabinski,"6' 0""","75""",Orthodox,"Apr 26, 1986",e17ac6410c8377f4
Ron Faircloth,"5' 9""",--,Orthodox,"Aug 16, 1979",453ee00c3e1ae9dd
Jason Fairn,"6' 1""",--,,--,adea9f0090aa8e14
Zarah Fairn,"5' 8""","72""",Orthodox,"Dec 10, 1983",862b0b3375aa4b6e
Rinat Fakhretdinov,"6' 0""","74""",Orthodox,"Sep 28, 1991",8f765fd5775a8873
Maiquel Falcao,"5' 11""",--,Orthodox,"Mar 08, 1981",d58478ded5534695
Pedro Falcao,"5' 6""","66""",Orthodox,"Jul 30, 1992",f7be1db194e03d7e
Brodie Farber,"6' 1""",--,Orthodox,"Jul 05, 1980",91d73ee59347ac16
Joao Paulo Faria,"5' 9""",--,,--,04e9955f33e0c267
Kalindra Faria,"5' 7""",--,Switch,"Jul 23, 1986",27b164b0d1833df0
Jair Farias,--,--,,"Mar 16, 1993",431262bbc69215dc
Chance Farrar,"5' 9""",--,Southpaw,"Sep 11, 1975",49c7236c737d7e59
Rico Farrington,"6' 4""","79""",Southpaw,"Jun 19, 1989",f89e6e66b9b112de
Kelly Faszholz,"5' 8""",--,Orthodox,"Apr 09, 1985",9c42a0de8e012870
Rodney Faverus,"6' 0""",--,Southpaw,--,5af26b3201690d29
Paul Felder,"5' 11""","70""",Orthodox,"Apr 25, 1984",e5010b1b94ca5755
Carlos Felipe,"6' 0""","75""",Orthodox,"Jan 12, 1995",a2ea77e974c5889f
JP Felty,--,--,,"Apr 28, 1979",954e3f4e2b0e6510
Feng Pengchao,--,--,,--,86597694317e5e1b
Kevin Ferguson,"6' 2""","77""",Orthodox,"Feb 08, 1974",27541033b97c076d
Rhadi Ferguson,"5' 7""",--,,--,15f4550e017f6c7d
Tony Ferguson,"5' 11""","76""",Orthodox,"Feb 12, 1984",22a92d7f62195791
Josh Ferguson,"5' 5""",--,Orthodox,"May 13, 1988",b0f316c60f8d3b47
CJ Fernandes,"6' 2""",--,,"Nov 13, 1977",979f7edbb6980b0d
Bibiano Fernandes,"5' 7""",--,Orthodox,"Mar 30, 1980",cbc071cb20ea59c7
Gabriella Fernandes,"5' 6""","66""",Southpaw,"Aug 13, 1993",a6eb54ae17a551be
Emily Fernandez,--,--,,--,7ee1babb99f30115
Lucas Fernando,"6' 3""","80""",,"Jan 10, 1997",3df223aeaacecf3f
Alexandre Ferreira,"5' 7""",--,Orthodox,"Apr 25, 1979",28ba5f27e473420c
Cezar Ferreira,"6' 1""","78""",Southpaw,"Feb 15, 1985",dbc17725b887860a
Diego Ferreira,"5' 9""","74""",Orthodox,"Jan 18, 1985",f53d4f21d1b5f2dc
Erisson Ferreira,"5' 6""","70""",Orthodox,"May 03, 1991",1c2a8915f8431507
Brunno Ferreira,"5' 10""","72""",Orthodox,"Nov 04, 1992",1e719d4b676dc19a
Scott Ferrozzo,"5' 11""",--,Orthodox,"Apr 26, 1965",977081bc01197656
Timo Feucht,"6' 3""","79""",Orthodox,"Jan 18, 1996",8c21eb9fd7c4c203
Andre Fialho,"6' 0""","74""",Orthodox,"Apr 07, 1994",33efaf2d0941cfcf
Drew Fickett,"5' 10""","70""",Orthodox,"Dec 14, 1979",d814f5192e58fb2f
Scott Fiedler,"6' 4""",--,Orthodox,--,0ec821423baa26bd
Ron Fields,"6' 2""",--,Orthodox,"Nov 18, 1974",6e380a4d73ab4f0e
Michal Figlak,"5' 10""","70""",Orthodox,"Aug 15, 1996",b4c57a8c2b773e82
Deiveson Figueiredo,"5' 5""","68""",Orthodox,"Dec 18, 1987",aa72b0f831d0bfe5
Francisco Figueiredo,"5' 6""","68""",Southpaw,"Oct 23, 1989",cdadae5363b66eef
Anthony Figueroa,"5' 4""",--,Orthodox,--,daff32bc96d1eabf
Edwin Figueroa,"5' 7""","69""",Orthodox,"Jul 31, 1984",bbfca6d5c27d9cd8
Paulo Filho,"5' 8""",--,Southpaw,"May 24, 1978",2abdead94ce73552
Jafel Filho,"5' 7""","68""",Orthodox,"May 05, 1993",65adf3856c4d9256
Andre Fili,"5' 11""","74""",Orthodox,"Jun 25, 1990",8fd808923cffff82
Mirko Filipovic,"6' 2""","73""",Southpaw,"Sep 10, 1974",c32fb8c0f6471a4d
Brady Fink,"6' 0""",--,Orthodox,--,997b4f52f76a0b53
Jesse Finney,"6' 0""",--,,"Jul 11, 1974",0496cdac0bc9edd8
Jan Finney,"5' 8""",--,Orthodox,--,3317823959d32a05
Torrez Finney,--,--,,"Oct 24, 1998",fbb60f24af5d5a02
Luigi Fioravanti,"5' 8""","70""",Orthodox,"Jan 22, 1981",9583662df31d943f
Nick Fiore,"5' 10""","72""",Orthodox,"Dec 10, 1997",036e96c1c12b8a59
Manon Fiorot,"5' 7""","65""",Orthodox,"Feb 17, 1990",34ff304266360297
Luiz Firmino,"5' 6""",--,Orthodox,"Mar 18, 1982",16d09e800ad7ec79
Spencer Fisher,"5' 7""","68""",Southpaw,"May 09, 1976",f34312c2ccfa0e00
Chris Fishgold,"5' 8""","68""",Orthodox,"Jun 06, 1992",bebb4ae55ac2bf6f
Bryanna Fissori,"5' 4""",--,,--,5517bd590dbbe1f8
Jon Fitch,"6' 0""","74""",Orthodox,"Feb 24, 1978",6f018c039b4d5d80
Isi Fitikefu,"5' 10""",--,,--,b8dc5fbf8338adc5
Rafael Fiziev,"5' 8""","71""",Switch,"Mar 05, 1993",c814b4c899793af6
Colin Fletcher,"6' 2""",--,Orthodox,"Jan 08, 1983",7d09200f6a77b20e
AJ Fletcher,"5' 10""","67""",Switch,"Feb 18, 1997",725b1abc9a39d873
Jimmy Flick,"5' 7""","68""",Orthodox,"Sep 07, 1990",09e62c450e754913
Luke Flores,"6' 0""","73""",Southpaw,"Mar 17, 1988",b5f44dcb863f595b
Ty Flores,"6' 3""","73""",Switch,"Dec 22, 1993",4bb0f74d5e26f89a
Alejandro Flores,"5' 10""","73""",Orthodox,"Aug 06, 1991",d23d5960ac5e117c
Kenny Florian,"5' 10""","74""",Southpaw,"May 26, 1976",cb139171ed1b69fe
Darrius Flowers,"5' 9""","71""",Orthodox,"Aug 25, 1994",65db4065e2bc107d
Cody Floyd,--,--,,"Jul 18, 1988",8164250600b7c91b
Bobby Flynn,--,--,,--,c97fc5fbf7d32b8a
Caros Fodor,"5' 9""","74""",Orthodox,"Jan 07, 1984",01d2ed8c502e3828
Mal Foki,"5' 7""",--,Orthodox,--,fa534853eb195270
Matt Foki,"5' 7""",--,Orthodox,--,5de61b03868035ff
AJ Fonseca,"5' 4""",--,,--,0adf1aacda5e26ac
Rob Font,"5' 8""","71""",Orthodox,"Jun 25, 1987",05339613bf8e9808
Claudionor Fontinelle,"5' 5""",--,Orthodox,--,7a82635ffa9b59fe
Jesse Forbes,"6' 2""","75""",Southpaw,"Oct 24, 1984",947eccadb72f4f6f
Sterling Ford,"5' 10""",--,,"Mar 12, 1986",a71ce6ff0b4a9dbb
Codale Ford,"5' 9""",--,,"May 13, 1979",5340123d826ceadb
Jussier Formiga,"5' 5""","67""",Orthodox,"Apr 14, 1985",b102c26727306ab6
Renee Forte,"5' 7""","71""",Orthodox,"Mar 27, 1987",44bc27bfa76dcd9e
Brianna Fortino,"5' 0""","62""",Southpaw,"Aug 04, 1993",b53c46f613f6f248
Marcel Fortuna,"6' 1""","74""",Orthodox,"Oct 22, 1985",d761b3766e38c5db
Brian Foster,"5' 9""","71""",Orthodox,"Apr 03, 1984",3dc3022232b79c7a
Xavier Foupa-Pokam,"6' 1""",--,Open Stance,"Jul 03, 1982",ec33146e43e58933
Mason Fowler,"5' 11""",--,,--,d745d4146be48679
Brandon Foxworth,"5' 11""",--,Orthodox,"Apr 28, 1979",f65a0eb902f9476b
Hermes Franca,"5' 6""","71""",Orthodox,"Aug 26, 1974",e0ec3c3b6b611f7e
Glaico Franca Moreira,"6' 0""","77""",Orthodox,"Feb 28, 1991",00a3ff40c4b2cf21
Francisco France,"6' 0""",--,,"Jan 21, 1983",ecfdbf38681a59ba
John Franchi,"5' 6""","67""",Orthodox,"Jul 16, 1982",b9532d815060de7f
Rich Franklin,"6' 1""","76""",Southpaw,"Oct 05, 1974",d897897060f10a3a
Zoila Frausto,"5' 4""",--,Orthodox,--,040d3b4c735541aa
Stephanie Frausto,"5' 2""","61""",Orthodox,"Sep 20, 1990",fee02819a271c050
Zane Frazier,"6' 5""",--,Orthodox,--,d3711d3784b76255
Gary Frazier,"6' 0""",--,Orthodox,--,3beeeafcbc8b4cbc
Justin Frazier,"6' 0""","75""",Southpaw,"Jun 15, 1989",78863e4a28204a6b
Ian Freeman,"5' 11""",--,Orthodox,"Nov 10, 1966",b4bc2e3353a770b5
Jason Freeman,"6' 2""",--,,"Sep 02, 1976",5870bd1eadf4f322
Willamy Freire,"5' 8""",--,,"Jul 28, 1987",f1f37d667bcd0d27
Patricio Freire,"5' 5""","65""",,"Jul 07, 1987",98a58c26c5b1ed17
Patricky Freire,"5' 7""","71""",,"Jun 01, 1986",90e6dde9113830bd
Jeremy  Freitag,"6' 1""",--,,--,a47e9ec288c91067
Rafael Freitas,--,--,Orthodox,--,14b9e0f2679a2205
Donavon Frelow,"5' 7""",--,Orthodox,"Jan 20, 1985",9aa56f004b2bca07
Josh Fremd,"6' 4""","76""",Orthodox,"Jan 15, 1994",ca43de99b07b6b40
Clay French,"5' 7""",--,Southpaw,"Oct 07, 1980",73321668ff977f1b
Mike French,"5' 10""",--,,"May 29, 1975",756f45905fb20cb5
Matt Frevola,"5' 9""","71""",Orthodox,"Jun 11, 1990",dccb63727f2f5f74
Jinh Yu Frey,"5' 3""","65""",Southpaw,"May 20, 1985",d05cb1e8d1b885d8
Artem Frolov,"5' 10""",--,,"Sep 07, 1991",ee704df0afd74558
Sarah Frota,"5' 6""","69""",Southpaw,"Apr 14, 1987",1641ef250e9de19b
Don Frye,"6' 1""",--,Orthodox,"Nov 23, 1965",271fe91f4ba9d2c5
Tony Fryklund,"6' 0""",--,Orthodox,"Mar 26, 1971",253de74457bd6374
Adam Fugitt,"6' 1""","77""",Southpaw,"Jan 12, 1989",a01a62132460a98d
Jesse Fujarczyk,"6' 4""",--,Southpaw,"Jan 28, 1983",c3c38c86f5ab9b5c
Katsuhisa Fujii,"6' 0""",--,Orthodox,"Aug 15, 1972",d71d968dc6ecfdaf
Megumi Fujii,"5' 3""",--,,"Apr 26, 1974",fb6c531726447ff3
Kazuyuki Fujita,"6' 0""",--,Orthodox,"Oct 16, 1970",b1605ea39fba6af6
Keisuke Fujiwara,"5' 6""",--,Switch,--,ccd58ff71e260ed5
Riki Fukuda,"6' 0""","73""",Southpaw,"Jan 06, 1981",7c35f869033901ae
Masio Fullen,"5' 10""","70""",Orthodox,"Oct 06, 1986",4638cc6479cc0afe
Travis Fulton,"6' 0""",--,Orthodox,"May 29, 1977",911fb265462f0d94
Sam Fulton,--,--,,--,1f5f75658551f2d3
Masakatsu Funaki,"6' 0""",--,Southpaw,"Mar 13, 1969",aa3153a9941b4d44
Ricardo Funch,"5' 10""","74""",Southpaw,"Aug 14, 1980",e9e1acc96536bb4f
Katsuaki Furuki,"6' 0""",--,,"Nov 10, 1980",c3e2eca94b2320bc
James Gabert,--,--,,--,fcd8b623892b9a10
Gustavo Gabriel,"5' 6""",--,Orthodox,"Apr 01, 1994",fe98f86284a6eeb3
Claudia Gadelha,"5' 4""","63""",Orthodox,"Dec 07, 1988",ec34349e7dffcde7
Alavutdin Gadjiev,"6' 2""",--,Orthodox,"Jun 23, 1982",a7a79b8efbceaaac
Magomed Gadzhiyasulov,--,--,,"Nov 04, 1993",6e344b71421103da
Justin Gaethje,"5' 11""","70""",Orthodox,"Nov 14, 1988",9e8f6c728eb01124
Sheila Gaff,"5' 5""",--,Orthodox,"Dec 29, 1989",837d30395faca41e
Muin Gafurov,"5' 7""","68""",Southpaw,"May 17, 1996",a54660deb6a8489c
Mitch Gagnon,"5' 5""","65""",Southpaw,"Oct 10, 1984",b8592b4a383696cd
Brandon Gaines,"6' 3""",--,,--,8e6cfbd455f0f9c2
Travis Galbraith,"6' 0""",--,Orthodox,"May 18, 1981",06dc1a58663579d2
Dave Galera,"5' 11""",--,Orthodox,"Jan 12, 1978",0876d21328cf4a45
Zelg Galesic,"6' 2""",--,Orthodox,"Feb 16, 1979",8a1b4330c7957961
Mickey Gall,"6' 2""","74""",Switch,"Jan 22, 1992",9e50097a89442158
Daniel Gallemore,"6' 5""",--,,--,96706c75a2b14164
Tom Gallicchio,"5' 10""",--,Southpaw,"Sep 23, 1986",cc81c92fe2254935
Turrell Galloway,"5' 3""",--,,--,7e654edcddd71550
Eric Galvan,--,--,,--,ad3fdba28a7540cf
Andre Galvao,"5' 7""",--,Orthodox,"Sep 29, 1982",45fe6765c56d8018
Marcos Galvao,"5' 7""",--,Orthodox,"Jun 23, 1981",e15d0a2519d6a0b5
Lucas Gamaza,--,--,,--,289a3b69b85da7cd
Joey Gambino,"5' 7""",--,Orthodox,"Oct 26, 1988",10559c53de0b950e
Manvel Gamburyan,"5' 5""","67""",Orthodox,"May 08, 1981",cc6f9d1e89f3449a
Mateusz Gamrot,"5' 10""","70""",Southpaw,"Dec 11, 1990",72db2a14ffa73ece
Shamil Gamzatov,"6' 2""","76""",Orthodox,"Aug 09, 1990",0d980975001ae3d8
Ariel Gandulla,"5' 11""",--,Orthodox,"May 07, 1968",41904fc4d3f5bffc
Ciryl Gane,"6' 4""","81""",Orthodox,"Apr 12, 1990",787bb1f087ccff8a
Sean Gannon,"6' 3""",--,Southpaw,--,6d7886b094b471ac
Junye Gao,--,--,,--,8b27d25ce0221d60
Eduardo Garagorri,"5' 9""","70""",Orthodox,"May 28, 1989",7bde387d50829adf
Cody Garbrandt,"5' 8""","65""",Orthodox,"Jul 07, 1991",d8c7c61b176e3994
Leonard Garcia,"5' 10""","68""",Orthodox,"Jul 14, 1979",917e53fa0adea0d3
Edgar Garcia,"5' 10""","71""",Orthodox,"Feb 22, 1984",8d49545dadf9b919
